"richness","links","connectance","diameter","complexity","distance","basal","top","intermediate","predpreyRatio","herbivory","omnivory","cannibal","l_S","GenSD","VulSD","TL","ChLen","ChSD","ChNum","path","LinkSD","S1","S2","S4","S5","ρ","centrality","loops","resilience","robustness","intervals","MaxSim","Clust","trophicCoherence","trophicVar","control"
85,223,0.0308650519031142,3,0.922146683573375,1,0.0117647058823529,0.588235294117647,0.4,0.416666666666667,0.223529411764706,0.317647058823529,0.0470588235294118,2.62352941176471,0.964598456793385,1.98144876246249,2.90738727342789,4.16468114926419,1.24329898947319,7.26332961747684,1.02232142857143,2.22629240075989,0.0453979238754325,0.0369550173010381,0.142837370242215,0.0236678200692042,0.866198356389398,0.525141335459892,0.0470588235294118,0.505326788952519,0.283882352941176,24,0.516006555672255,0.275330743724202,0.445798395366459,0.552167427617376,0.588235294117647
102,697,0.0669934640522876,4,0.908472774420607,3,0.529411764705882,0.254901960784314,0.215686274509804,1.58333333333333,0.392156862745098,0.0784313725490196,0.00980392156862745,6.83333333333333,1.39518561467001,1.26460463537855,1.51235883838092,2.48066298342541,1.10444893906416,7.14440718032114,1.16441717791411,1.37272662529673,0.0688196847366398,0.0111495578623606,0.546712802768166,0.624279123414072,0.739688201451634,11.1480436968022,0.00980392156862745,0.764705882352941,0.48421568627451,618,0.526523061176982,0.0582962838074322,0.159480784255022,0.331474782350754,0.568627450980392
31,68,0.0707596253902185,5,0.921240063304968,2,0.161290322580645,0.32258064516129,0.516129032258065,0.807692307692308,0.193548387096774,0.516129032258065,0.032258064516129,2.19354838709677,0.757545663657282,1.13158874136533,2.47917662285942,3.208,1.10202160273891,4.8283137373023,1,1.11387391996278,0.0832466181061394,0.0218522372528616,0.115504682622268,0.0572320499479709,0.701599130002006,1.22222222222222,0.032258064516129,0.569499236342056,0.386774193548387,11,0.502950006982265,0.23810803891449,0.497786823111428,0.757368215807238,0.419354838709677
155,1509,0.0628095733610822,7,0.895179126389134,4,0.180645161290323,0.129032258064516,0.690322580645161,1.06299212598425,0.174193548387097,0.574193548387097,0.0129032258064516,9.73548387096774,1.27226804963077,1.13225435353533,2.91605512741748,7.96162931274993,2.11023048867709,12.2786723379445,1.94466868483014,1.83227694309983,0.356753381893861,0.117544224765869,0.438834547346514,0.478043704474506,0.832139613865195,4.9411684987451,0.451612903225806,0.567056002478515,0.427483870967742,1989,0.513743771121453,0.219757867722512,1.00397803147297,1.58229717046215,0.309677419354839
61,97,0.0260682612201021,2,0.958558846470675,1,0.131147540983607,0.311475409836066,0.557377049180328,0.792452830188679,0.245901639344262,0.213114754098361,0,1.59016393442623,1.46755030595914,1.09752908501992,2.60914058618977,2.54166666666667,0.603685861784347,4.27666611901606,1,1.60127685792475,0.0177371674281107,0.00752485890889546,0.0247245364149422,0.0440741736092448,0.532079900273145,0.402591973244147,0,0.524618621658011,0.234918032786885,5,0.374643389397488,0.384003974167909,0.40409051141315,0.696224515397392,0.459016393442623
79,1403,0.224803717352988,8,0.85830833001259,1,0.0253164556962025,0.0379746835443038,0.936708860759494,0.987012987012987,0.189873417721519,0.784810126582278,0.316455696202532,17.7594936708861,0.895324179323317,0.733457148583315,3.004050826951,9.53056066214086,1.96559191470301,14.0157817190778,1.12678803641092,0.858763921765523,0.905463867969877,1.64893446563051,1.15286011857074,1.63563531485339,1.11239442357,4.09934877869655,0.506329113924051,0.521639814971059,0.454430379746835,712,0.697978879066986,0.61513257663341,0.58132724101876,0.66428882011341,0.20253164556962
25,197,0.3152,3,0.825271420662419,3,0.04,0.04,0.92,1,0.32,0.6,0.32,7.88,0.916081935191571,0.538804850358398,2.63928118128576,2.94117647058824,0.747545001596402,2.83321334405622,1.17826086956522,0.59981229939576,0.2944,0.8384,0.4016,0.872,1.19632671121955,1.61268542959349,0.32,0.52612849614154,0.3708,26,0.726809969399739,0.658046008970763,0.538801892541834,0.460576288510193,0.32
48,221,0.0959201388888889,4,0.907348169492,3,0.125,0.1875,0.6875,0.928571428571429,0.166666666666667,0.708333333333333,0.0625,4.60416666666667,0.745333555441122,0.911336089438964,2.64407607866029,6.03946864222762,1.56264209122146,8.96559006690791,1.52127659574468,1.04017214263461,0.267795138888889,0.0967881944444444,0.246961805555556,0.191840277777778,0.808953376632691,3.38820991056751,0.0625,0.567411453634346,0.459166666666667,157,0.458937761228404,0.303251337800486,0.571808848684814,0.952208535245635,0.270833333333333
42,205,0.116213151927438,3,0.892721824139676,3,0.142857142857143,0.166666666666667,0.69047619047619,0.972222222222222,0.238095238095238,0.595238095238095,0,4.88095238095238,1.02108926805439,0.782710250418032,2.61449528605505,4.49017199017199,1.20837310392158,7.80057265467065,1.57142857142857,1.03266143266275,0.265873015873016,0.138321995464853,0.256802721088435,0.375850340136054,0.846836309965577,3.12267105606705,0,0.569448308300593,0.432142857142857,116,0.535954241836595,0.325573370762446,0.590632133228389,0.903268623830643,0.30952380952381
109,829,0.0697752714417978,3,0.906931628248401,2,0.559633027522936,0.174311926605505,0.26605504587156,1.875,0.321100917431193,0.119266055045872,0.018348623853211,7.60550458715596,1.415785876949,1.33333611215507,1.49796369108296,2.37828947368421,0.901860980162072,7.32646561384032,1.09419496166484,1.46408351547401,0.0869455433044357,0.0104368319165053,0.68714754650282,0.746233482030132,0.789386809894243,16.0390851243932,0.018348623853211,0.766640619032666,0.479449541284404,658,0.521360916261886,0.0747387725664687,0.167274962529482,0.359252748544775,0.568807339449541
82,395,0.0587447947650208,4,0.905918212627419,3,0.0609756097560976,0.365853658536585,0.573170731707317,0.675324675324675,0.329268292682927,0.536585365853659,0.048780487804878,4.81707317073171,1.14920508877448,1.45192946418763,2.69240979041941,4.81575492341357,1.28288653069466,8.83273359199642,1.72,1.7744270440017,0.175639500297442,0.0530933967876264,0.338042831647829,0.228732897085068,0.79442967403208,1.74123181802915,0.0609756097560976,0.537190204135065,0.376951219512195,274,0.496639388017975,0.316076566006811,0.372356747630266,0.628744156197103,0.48780487804878
20,56,0.14,2,0.88241655330174,1,0.15,0.3,0.55,0.823529411764706,0.55,0.15,0,2.8,0.887010935428845,0.959714869937393,2.15,2,0,4.26267987704132,1.05084745762712,0.745556114934064,0.1775,0,0.2975,0.2725,0.880568204809358,1.78099652375435,0,0.586457200091575,0.4095,0,0.919318181818182,0,3.61772298053542e-16,0.45,0.55
19,58,0.160664819944598,3,0.897340520140296,1,0.105263157894737,0.157894736842105,0.736842105263158,0.941176470588235,0.157894736842105,0.68421052631579,0,3.05263157894737,0.910153236543869,0.863083693976908,2.5546783625731,2.88,0.656773439894878,4.31748811353631,1.09375,0.739751398147314,0.188365650969529,0.0637119113573407,0.274238227146814,0.293628808864266,0.885159353160399,1.4945295404814,0,0.556782786292655,0.372105263157895,1,0.83546365914787,0.25906432748538,0.395163971855193,0.533729254656704,0.526315789473684
